cell_id,municipio,time_bucket,dia_tipo,hour,centroid_lat,centroid_lon,n_requests,n_drivers_available,supply_demand_ratio,demand_density,cancel_rate,is_hot_true,zone_id_true
1-0-0,1,fin_de_semana_09,fin_de_semana,9,16.611349,-93.100651,1,4,4.0,11.11,0.0,False,-1
1-0-0,1,fin_de_semana_13,fin_de_semana,13,16.611349,-93.100651,2,5,2.5,22.22,1.0,False,-1
1-0-0,1,fin_de_semana_17,fin_de_semana,17,16.611349,-93.100651,1,7,7.0,11.11,1.0,False,-1
1-0-0,1,fin_de_semana_18,fin_de_semana,18,16.611349,-93.100651,1,5,5.0,11.11,0.0,False,-1
1-0-0,1,fin_de_semana_20,fin_de_semana,20,16.611349,-93.100651,1,1,1.0,11.11,0.0,False,-1
1-0-0,1,fin_de_semana_22,fin_de_semana,22,16.611349,-93.100651,1,2,2.0,11.11,0.0,False,-1
1-0-1,1,entre_semana_00,entre_semana,0,16.611349,-93.097953,1,7,7.0,11.11,0.0,False,-1
1-0-1,1,entre_semana_01,entre_semana,1,16.611349,-93.097953,1,2,2.0,11.11,0.0,False,-1
1-0-1,1,entre_semana_02,entre_semana,2,16.611349,-93.097953,1,2,2.0,11.11,0.0,False,-1
1-0-1,1,entre_semana_07,entre_semana,7,16.611349,-93.097953,1,7,7.0,11.11,0.0,False,-1
1-0-1,1,entre_semana_08,entre_semana,8,16.611349,-93.097953,1,5,5.0,11.11,0.0,False,-1
1-0-1,1,entre_semana_09,entre_semana,9,16.611349,-93.097953,2,6,3.0,22.22,0.5,False,-1
1-0-1,1,entre_semana_10,entre_semana,10,16.611349,-93.097953,1,6,6.0,11.11,0.0,False,-1
1-0-1,1,entre_semana_11,entre_semana,11,16.611349,-93.097953,2,4,2.0,22.22,0.0,False,-1
1-0-1,1,entre_semana_12,entre_semana,12,16.611349,-93.097953,1,3,3.0,11.11,0.0,False,-1
1-0-1,1,entre_semana_13,entre_semana,13,16.611349,-93.097953,3,3,1.0,33.33,0.0,False,-1
1-0-1,1,entre_semana_16,entre_semana,16,16.611349,-93.097953,1,1,1.0,11.11,0.0,False,-1
1-0-1,1,entre_semana_17,entre_semana,17,16.611349,-93.097953,2,3,1.5,22.22,0.5,False,-1
1-0-1,1,entre_semana_18,entre_semana,18,16.611349,-93.097953,5,7,1.4,55.56,0.4,False,-1
1-0-1,1,entre_semana_20,entre_semana,20,16.611349,-93.097953,1,4,4.0,11.11,0.0,False,-1
1-0-1,1,fin_de_semana_06,fin_de_semana,6,16.611349,-93.097953,1,5,5.0,11.11,0.0,False,-1
1-0-1,1,fin_de_semana_07,fin_de_semana,7,16.611349,-93.097953,2,3,1.5,22.22,0.5,False,-1
1-0-1,1,fin_de_semana_08,fin_de_semana,8,16.611349,-93.097953,1,6,6.0,11.11,0.0,False,-1
1-0-1,1,fin_de_semana_09,fin_de_semana,9,16.611349,-93.097953,1,5,5.0,11.11,1.0,False,-1
1-0-1,1,fin_de_semana_14,fin_de_semana,14,16.611349,-93.097953,1,3,3.0,11.11,0.0,False,-1
1-0-1,1,fin_de_semana_17,fin_de_semana,17,16.611349,-93.097953,1,0,0.0,11.11,0.0,False,-1
1-0-1,1,fin_de_semana_18,fin_de_semana,18,16.611349,-93.097953,1,4,4.0,11.11,0.0,False,-1
1-0-1,1,fin_de_semana_22,fin_de_semana,22,16.611349,-93.097953,1,2,2.0,11.11,0.0,False,-1
1-0-2,1,entre_semana_01,entre_semana,1,16.611349,-93.095255,1,6,6.0,11.11,0.0,False,-1
1-0-2,1,entre_semana_06,entre_semana,6,16.611349,-93.095255,1,4,4.0,11.11,0.0,False,-1
1-0-2,1,entre_semana_07,entre_semana,7,16.611349,-93.095255,1,3,3.0,11.11,0.0,False,-1
1-0-2,1,entre_semana_08,entre_semana,8,16.611349,-93.095255,2,4,2.0,22.22,0.5,False,-1
1-0-2,1,entre_semana_09,entre_semana,9,16.611349,-93.095255,1,3,3.0,11.11,0.0,False,-1
1-0-2,1,entre_semana_10,entre_semana,10,16.611349,-93.095255,1,4,4.0,11.11,0.0,False,-1
1-0-2,1,entre_semana_13,entre_semana,13,16.611349,-93.095255,1,2,2.0,11.11,0.0,False,-1
1-0-2,1,entre_semana_14,entre_semana,14,16.611349,-93.095255,1,0,0.0,11.11,0.0,False,-1
1-0-2,1,entre_semana_17,entre_semana,17,16.611349,-93.095255,3,4,1.333,33.33,0.667,False,-1
1-0-2,1,entre_semana_18,entre_semana,18,16.611349,-93.095255,2,4,2.0,22.22,0.0,False,-1
1-0-2,1,entre_semana_19,entre_semana,19,16.611349,-93.095255,2,5,2.5,22.22,0.0,False,-1
1-0-2,1,entre_semana_20,entre_semana,20,16.611349,-93.095255,1,2,2.0,11.11,0.0,False,-1
1-0-2,1,fin_de_semana_07,fin_de_semana,7,16.611349,-93.095255,2,4,2.0,22.22,0.5,False,-1
1-0-2,1,fin_de_semana_13,fin_de_semana,13,16.611349,-93.095255,1,6,6.0,11.11,0.0,False,-1
1-0-2,1,fin_de_semana_19,fin_de_semana,19,16.611349,-93.095255,2,3,1.5,22.22,0.0,False,-1
1-0-2,1,fin_de_semana_21,fin_de_semana,21,16.611349,-93.095255,1,2,2.0,11.11,0.0,False,-1
1-0-3,1,entre_semana_03,entre_semana,3,16.611349,-93.092557,1,4,4.0,11.11,0.0,False,-1
1-0-3,1,entre_semana_04,entre_semana,4,16.611349,-93.092557,1,3,3.0,11.11,0.0,False,-1
1-0-3,1,entre_semana_05,entre_semana,5,16.611349,-93.092557,1,3,3.0,11.11,0.0,False,-1
1-0-3,1,entre_semana_07,entre_semana,7,16.611349,-93.092557,2,2,1.0,22.22,0.5,False,-1
1-0-3,1,entre_semana_08,entre_semana,8,16.611349,-93.092557,1,8,8.0,11.11,0.0,False,-1
1-0-3,1,entre_semana_09,entre_semana,9,16.611349,-93.092557,1,5,5.0,11.11,0.0,False,-1
1-0-3,1,entre_semana_10,entre_semana,10,16.611349,-93.092557,1,3,3.0,11.11,0.0,False,-1
1-0-3,1,entre_semana_13,entre_semana,13,16.611349,-93.092557,1,3,3.0,11.11,0.0,False,-1
1-0-3,1,entre_semana_14,entre_semana,14,16.611349,-93.092557,1,1,1.0,11.11,0.0,False,-1
1-0-3,1,entre_semana_15,entre_semana,15,16.611349,-93.092557,1,3,3.0,11.11,0.0,False,-1
1-0-3,1,entre_semana_16,entre_semana,16,16.611349,-93.092557,1,6,6.0,11.11,0.0,False,-1
1-0-3,1,entre_semana_17,entre_semana,17,16.611349,-93.092557,1,3,3.0,11.11,0.0,False,-1
1-0-3,1,entre_semana_18,entre_semana,18,16.611349,-93.092557,2,5,2.5,22.22,0.5,False,-1
1-0-3,1,entre_semana_19,entre_semana,19,16.611349,-93.092557,1,5,5.0,11.11,0.0,False,-1
1-0-3,1,entre_semana_20,entre_semana,20,16.611349,-93.092557,1,3,3.0,11.11,0.0,False,-1
1-0-3,1,entre_semana_23,entre_semana,23,16.611349,-93.092557,1,4,4.0,11.11,0.0,False,-1
1-0-3,1,fin_de_semana_04,fin_de_semana,4,16.611349,-93.092557,1,6,6.0,11.11,0.0,False,-1
1-0-3,1,fin_de_semana_08,fin_de_semana,8,16.611349,-93.092557,1,4,4.0,11.11,0.0,False,-1
1-0-3,1,fin_de_semana_09,fin_de_semana,9,16.611349,-93.092557,1,4,4.0,11.11,0.0,False,-1
1-0-3,1,fin_de_semana_13,fin_de_semana,13,16.611349,-93.092557,1,5,5.0,11.11,0.0,False,-1
1-0-3,1,fin_de_semana_17,fin_de_semana,17,16.611349,-93.092557,1,5,5.0,11.11,0.0,False,-1
1-0-3,1,fin_de_semana_21,fin_de_semana,21,16.611349,-93.092557,3,3,1.0,33.33,0.333,False,-1
1-0-3,1,fin_de_semana_22,fin_de_semana,22,16.611349,-93.092557,1,2,2.0,11.11,0.0,False,-1
1-0-4,1,entre_semana_00,entre_semana,0,16.611349,-93.089859,1,1,1.0,11.11,0.0,False,-1
1-0-4,1,entre_semana_02,entre_semana,2,16.611349,-93.089859,1,3,3.0,11.11,0.0,False,-1
1-0-4,1,entre_semana_04,entre_semana,4,16.611349,-93.089859,1,6,6.0,11.11,0.0,False,-1
1-0-4,1,entre_semana_06,entre_semana,6,16.611349,-93.089859,1,2,2.0,11.11,0.0,False,-1
1-0-4,1,entre_semana_07,entre_semana,7,16.611349,-93.089859,1,2,2.0,11.11,1.0,False,-1
1-0-4,1,entre_semana_08,entre_semana,8,16.611349,-93.089859,1,7,7.0,11.11,1.0,False,-1
1-0-4,1,entre_semana_09,entre_semana,9,16.611349,-93.089859,1,6,6.0,11.11,1.0,False,-1
1-0-4,1,entre_semana_10,entre_semana,10,16.611349,-93.089859,1,1,1.0,11.11,0.0,False,-1
1-0-4,1,entre_semana_12,entre_semana,12,16.611349,-93.089859,1,4,4.0,11.11,0.0,False,-1
1-0-4,1,entre_semana_13,entre_semana,13,16.611349,-93.089859,1,4,4.0,11.11,1.0,False,-1
1-0-4,1,entre_semana_15,entre_semana,15,16.611349,-93.089859,1,7,7.0,11.11,0.0,False,-1
1-0-4,1,entre_semana_16,entre_semana,16,16.611349,-93.089859,2,7,3.5,22.22,0.0,False,-1
1-0-4,1,entre_semana_17,entre_semana,17,16.611349,-93.089859,3,1,0.333,33.33,0.333,False,-1
1-0-4,1,entre_semana_19,entre_semana,19,16.611349,-93.089859,2,1,0.5,22.22,1.0,False,-1
1-0-4,1,entre_semana_20,entre_semana,20,16.611349,-93.089859,1,3,3.0,11.11,0.0,False,-1
1-0-4,1,entre_semana_21,entre_semana,21,16.611349,-93.089859,1,5,5.0,11.11,0.0,False,-1
1-0-4,1,fin_de_semana_00,fin_de_semana,0,16.611349,-93.089859,1,3,3.0,11.11,0.0,False,-1
1-0-4,1,fin_de_semana_05,fin_de_semana,5,16.611349,-93.089859,1,1,1.0,11.11,0.0,False,-1
1-0-4,1,fin_de_semana_07,fin_de_semana,7,16.611349,-93.089859,1,6,6.0,11.11,1.0,False,-1
1-0-4,1,fin_de_semana_08,fin_de_semana,8,16.611349,-93.089859,1,2,2.0,11.11,0.0,False,-1
1-0-4,1,fin_de_semana_09,fin_de_semana,9,16.611349,-93.089859,2,6,3.0,22.22,0.5,False,-1
1-0-4,1,fin_de_semana_12,fin_de_semana,12,16.611349,-93.089859,1,3,3.0,11.11,0.0,False,-1
1-0-4,1,fin_de_semana_13,fin_de_semana,13,16.611349,-93.089859,1,3,3.0,11.11,0.0,False,-1
1-0-4,1,fin_de_semana_18,fin_de_semana,18,16.611349,-93.089859,2,7,3.5,22.22,0.0,False,-1
1-0-4,1,fin_de_semana_20,fin_de_semana,20,16.611349,-93.089859,1,5,5.0,11.11,0.0,False,-1
1-0-4,1,fin_de_semana_22,fin_de_semana,22,16.611349,-93.089859,1,3,3.0,11.11,0.0,False,-1
1-0-5,1,entre_semana_02,entre_semana,2,16.611349,-93.087161,1,2,2.0,11.11,0.0,False,-1
1-0-5,1,entre_semana_05,entre_semana,5,16.611349,-93.087161,1,3,3.0,11.11,0.0,False,-1
1-0-5,1,entre_semana_07,entre_semana,7,16.611349,-93.087161,1,3,3.0,11.11,1.0,False,-1
1-0-5,1,entre_semana_08,entre_semana,8,16.611349,-93.087161,3,4,1.333,33.33,0.667,False,-1
1-0-5,1,entre_semana_09,entre_semana,9,16.611349,-93.087161,2,6,3.0,22.22,0.0,False,-1
1-0-5,1,entre_semana_14,entre_semana,14,16.611349,-93.087161,1,4,4.0,11.11,0.0,False,-1
1-0-5,1,entre_semana_16,entre_semana,16,16.611349,-93.087161,1,3,3.0,11.11,0.0,False,-1
1-0-5,1,entre_semana_18,entre_semana,18,16.611349,-93.087161,5,3,0.6,55.56,0.6,False,-1
1-0-5,1,entre_semana_20,entre_semana,20,16.611349,-93.087161,2,2,1.0,22.22,0.0,False,-1
1-0-5,1,entre_semana_22,entre_semana,22,16.611349,-93.087161,1,4,4.0,11.11,0.0,False,-1
1-0-5,1,fin_de_semana_00,fin_de_semana,0,16.611349,-93.087161,1,3,3.0,11.11,0.0,False,-1
1-0-5,1,fin_de_semana_02,fin_de_semana,2,16.611349,-93.087161,1,5,5.0,11.11,1.0,False,-1
1-0-5,1,fin_de_semana_07,fin_de_semana,7,16.611349,-93.087161,2,0,0.0,22.22,0.0,False,-1
1-0-5,1,fin_de_semana_08,fin_de_semana,8,16.611349,-93.087161,1,1,1.0,11.11,0.0,False,-1
1-0-5,1,fin_de_semana_10,fin_de_semana,10,16.611349,-93.087161,1,0,0.0,11.11,0.0,False,-1
1-0-5,1,fin_de_semana_17,fin_de_semana,17,16.611349,-93.087161,1,4,4.0,11.11,0.0,False,-1
1-0-5,1,fin_de_semana_18,fin_de_semana,18,16.611349,-93.087161,1,5,5.0,11.11,0.0,False,-1
1-0-5,1,fin_de_semana_19,fin_de_semana,19,16.611349,-93.087161,1,3,3.0,11.11,0.0,False,-1
1-0-5,1,fin_de_semana_21,fin_de_semana,21,16.611349,-93.087161,2,6,3.0,22.22,0.0,False,-1
1-0-6,1,entre_semana_07,entre_semana,7,16.611349,-93.084463,3,1,0.333,33.33,0.667,False,-1
1-0-6,1,entre_semana_08,entre_semana,8,16.611349,-93.084463,1,5,5.0,11.11,0.0,False,-1
1-0-6,1,entre_semana_12,entre_semana,12,16.611349,-93.084463,1,5,5.0,11.11,0.0,False,-1
1-0-6,1,entre_semana_13,entre_semana,13,16.611349,-93.084463,1,2,2.0,11.11,0.0,False,-1
1-0-6,1,entre_semana_14,entre_semana,14,16.611349,-93.084463,1,2,2.0,11.11,0.0,False,-1
1-0-6,1,entre_semana_15,entre_semana,15,16.611349,-93.084463,1,4,4.0,11.11,0.0,False,-1
1-0-6,1,entre_semana_19,entre_semana,19,16.611349,-93.084463,1,3,3.0,11.11,0.0,False,-1
1-0-6,1,entre_semana_23,entre_semana,23,16.611349,-93.084463,1,5,5.0,11.11,0.0,False,-1
1-0-6,1,fin_de_semana_00,fin_de_semana,0,16.611349,-93.084463,1,4,4.0,11.11,0.0,False,-1
1-0-6,1,fin_de_semana_17,fin_de_semana,17,16.611349,-93.084463,2,6,3.0,22.22,1.0,False,-1
1-0-6,1,fin_de_semana_19,fin_de_semana,19,16.611349,-93.084463,1,0,0.0,11.11,0.0,False,-1
1-0-6,1,fin_de_semana_20,fin_de_semana,20,16.611349,-93.084463,1,6,6.0,11.11,0.0,False,-1
1-0-6,1,fin_de_semana_21,fin_de_semana,21,16.611349,-93.084463,2,4,2.0,22.22,0.0,False,-1
1-0-6,1,fin_de_semana_22,fin_de_semana,22,16.611349,-93.084463,1,5,5.0,11.11,0.0,False,-1
1-1-0,1,entre_semana_01,entre_semana,1,16.614047,-93.100651,1,4,4.0,11.11,0.0,False,-1
1-1-0,1,entre_semana_02,entre_semana,2,16.614047,-93.100651,2,4,2.0,22.22,0.0,False,-1
1-1-0,1,entre_semana_04,entre_semana,4,16.614047,-93.100651,1,4,4.0,11.11,0.0,False,-1
1-1-0,1,entre_semana_07,entre_semana,7,16.614047,-93.100651,3,3,1.0,33.33,0.0,False,-1
1-1-0,1,entre_semana_08,entre_semana,8,16.614047,-93.100651,4,3,0.75,44.44,0.0,False,-1
1-1-0,1,entre_semana_09,entre_semana,9,16.614047,-93.100651,3,6,2.0,33.33,0.333,False,-1
1-1-0,1,entre_semana_13,entre_semana,13,16.614047,-93.100651,4,5,1.25,44.44,0.25,False,-1
1-1-0,1,entre_semana_14,entre_semana,14,16.614047,-93.100651,1,3,3.0,11.11,0.0,False,-1
1-1-0,1,entre_semana_17,entre_semana,17,16.614047,-93.100651,2,3,1.5,22.22,0.5,False,-1
1-1-0,1,entre_semana_18,entre_semana,18,16.614047,-93.100651,3,6,2.0,33.33,0.667,False,-1
1-1-0,1,entre_semana_20,entre_semana,20,16.614047,-93.100651,1,3,3.0,11.11,0.0,False,-1
1-1-0,1,entre_semana_22,entre_semana,22,16.614047,-93.100651,1,1,1.0,11.11,0.0,False,-1
1-1-0,1,fin_de_semana_05,fin_de_semana,5,16.614047,-93.100651,1,2,2.0,11.11,0.0,False,-1
1-1-0,1,fin_de_semana_08,fin_de_semana,8,16.614047,-93.100651,2,1,0.5,22.22,0.5,False,-1
1-1-0,1,fin_de_semana_10,fin_de_semana,10,16.614047,-93.100651,1,2,2.0,11.11,0.0,False,-1
1-1-0,1,fin_de_semana_13,fin_de_semana,13,16.614047,-93.100651,1,5,5.0,11.11,0.0,False,-1
1-1-0,1,fin_de_semana_17,fin_de_semana,17,16.614047,-93.100651,2,2,1.0,22.22,0.5,False,-1
1-1-0,1,fin_de_semana_19,fin_de_semana,19,16.614047,-93.100651,1,7,7.0,11.11,0.0,False,-1
1-1-0,1,fin_de_semana_20,fin_de_semana,20,16.614047,-93.100651,1,5,5.0,11.11,1.0,False,-1
1-1-0,1,fin_de_semana_21,fin_de_semana,21,16.614047,-93.100651,2,7,3.5,22.22,0.0,False,-1
1-1-0,1,fin_de_semana_22,fin_de_semana,22,16.614047,-93.100651,1,5,5.0,11.11,0.0,False,-1
1-1-1,1,entre_semana_03,entre_semana,3,16.614047,-93.097953,1,2,2.0,11.11,0.0,False,-1
1-1-1,1,entre_semana_05,entre_semana,5,16.614047,-93.097953,1,5,5.0,11.11,0.0,False,-1
1-1-1,1,entre_semana_06,entre_semana,6,16.614047,-93.097953,1,3,3.0,11.11,0.0,False,-1
1-1-1,1,entre_semana_08,entre_semana,8,16.614047,-93.097953,1,2,2.0,11.11,0.0,False,-1
1-1-1,1,entre_semana_09,entre_semana,9,16.614047,-93.097953,2,3,1.5,22.22,0.0,False,-1
1-1-1,1,entre_semana_13,entre_semana,13,16.614047,-93.097953,1,4,4.0,11.11,0.0,False,-1
1-1-1,1,entre_semana_17,entre_semana,17,16.614047,-93.097953,1,5,5.0,11.11,1.0,False,-1
1-1-1,1,entre_semana_20,entre_semana,20,16.614047,-93.097953,1,3,3.0,11.11,1.0,False,-1
1-1-1,1,entre_semana_23,entre_semana,23,16.614047,-93.097953,1,5,5.0,11.11,0.0,False,-1
1-1-1,1,fin_de_semana_06,fin_de_semana,6,16.614047,-93.097953,1,7,7.0,11.11,0.0,False,-1
1-1-1,1,fin_de_semana_07,fin_de_semana,7,16.614047,-93.097953,2,7,3.5,22.22,0.0,False,-1
1-1-1,1,fin_de_semana_08,fin_de_semana,8,16.614047,-93.097953,2,4,2.0,22.22,0.5,False,-1
1-1-1,1,fin_de_semana_09,fin_de_semana,9,16.614047,-93.097953,1,3,3.0,11.11,0.0,False,-1
1-1-1,1,fin_de_semana_11,fin_de_semana,11,16.614047,-93.097953,1,3,3.0,11.11,0.0,False,-1
1-1-1,1,fin_de_semana_21,fin_de_semana,21,16.614047,-93.097953,1,3,3.0,11.11,0.0,False,-1
1-1-1,1,fin_de_semana_22,fin_de_semana,22,16.614047,-93.097953,1,8,8.0,11.11,1.0,False,-1
1-1-2,1,entre_semana_00,entre_semana,0,16.614047,-93.095255,1,3,3.0,11.11,0.0,False,-1
1-1-2,1,entre_semana_01,entre_semana,1,16.614047,-93.095255,1,3,3.0,11.11,1.0,False,-1
1-1-2,1,entre_semana_06,entre_semana,6,16.614047,-93.095255,2,1,0.5,22.22,0.0,False,-1
1-1-2,1,entre_semana_09,entre_semana,9,16.614047,-93.095255,2,2,1.0,22.22,1.0,False,-1
1-1-2,1,entre_semana_12,entre_semana,12,16.614047,-93.095255,1,1,1.0,11.11,0.0,False,-1
1-1-2,1,entre_semana_13,entre_semana,13,16.614047,-93.095255,1,1,1.0,11.11,0.0,False,-1
1-1-2,1,entre_semana_17,entre_semana,17,16.614047,-93.095255,3,1,0.333,33.33,0.333,False,-1
1-1-2,1,entre_semana_18,entre_semana,18,16.614047,-93.095255,4,6,1.5,44.44,0.25,False,-1
1-1-2,1,entre_semana_19,entre_semana,19,16.614047,-93.095255,2,3,1.5,22.22,0.5,False,-1
1-1-2,1,entre_semana_20,entre_semana,20,16.614047,-93.095255,2,8,4.0,22.22,0.0,False,-1
1-1-2,1,entre_semana_22,entre_semana,22,16.614047,-93.095255,1,3,3.0,11.11,0.0,False,-1
1-1-2,1,fin_de_semana_03,fin_de_semana,3,16.614047,-93.095255,1,6,6.0,11.11,0.0,False,-1
1-1-2,1,fin_de_semana_09,fin_de_semana,9,16.614047,-93.095255,1,4,4.0,11.11,0.0,False,-1
1-1-2,1,fin_de_semana_20,fin_de_semana,20,16.614047,-93.095255,1,5,5.0,11.11,0.0,False,-1
1-1-3,1,entre_semana_00,entre_semana,0,16.614047,-93.092557,1,1,1.0,11.11,0.0,False,-1
1-1-3,1,entre_semana_01,entre_semana,1,16.614047,-93.092557,2,2,1.0,22.22,0.0,False,-1
1-1-3,1,entre_semana_06,entre_semana,6,16.614047,-93.092557,2,6,3.0,22.22,0.0,False,-1
1-1-3,1,entre_semana_07,entre_semana,7,16.614047,-93.092557,1,3,3.0,11.11,0.0,False,-1
1-1-3,1,entre_semana_08,entre_semana,8,16.614047,-93.092557,4,3,0.75,44.44,0.5,False,-1
1-1-3,1,entre_semana_09,entre_semana,9,16.614047,-93.092557,2,3,1.5,22.22,0.0,False,-1
1-1-3,1,entre_semana_16,entre_semana,16,16.614047,-93.092557,2,2,1.0,22.22,1.0,False,2
1-1-3,1,entre_semana_17,entre_semana,17,16.614047,-93.092557,2,3,1.5,22.22,0.5,False,-1
1-1-3,1,entre_semana_18,entre_semana,18,16.614047,-93.092557,1,6,6.0,11.11,0.0,False,-1
1-1-3,1,entre_semana_21,entre_semana,21,16.614047,-93.092557,2,7,3.5,22.22,0.0,False,-1
1-1-3,1,entre_semana_23,entre_semana,23,16.614047,-93.092557,1,4,4.0,11.11,0.0,False,-1
1-1-3,1,fin_de_semana_04,fin_de_semana,4,16.614047,-93.092557,1,2,2.0,11.11,0.0,False,-1
1-1-3,1,fin_de_semana_06,fin_de_semana,6,16.614047,-93.092557,1,6,6.0,11.11,0.0,False,-1
1-1-3,1,fin_de_semana_07,fin_de_semana,7,16.614047,-93.092557,1,4,4.0,11.11,0.0,False,-1
1-1-3,1,fin_de_semana_08,fin_de_semana,8,16.614047,-93.092557,1,2,2.0,11.11,0.0,False,-1
1-1-3,1,fin_de_semana_18,fin_de_semana,18,16.614047,-93.092557,3,1,0.333,33.33,0.0,False,-1
1-1-4,1,entre_semana_00,entre_semana,0,16.614047,-93.089859,2,4,2.0,22.22,0.0,False,-1
1-1-4,1,entre_semana_05,entre_semana,5,16.614047,-93.089859,1,2,2.0,11.11,0.0,False,-1
1-1-4,1,entre_semana_07,entre_semana,7,16.614047,-93.089859,5,3,0.6,55.56,0.4,False,-1
1-1-4,1,entre_semana_08,entre_semana,8,16.614047,-93.089859,3,4,1.333,33.33,0.0,False,-1
1-1-4,1,entre_semana_09,entre_semana,9,16.614047,-93.089859,2,5,2.5,22.22,0.0,False,-1
1-1-4,1,entre_semana_11,entre_semana,11,16.614047,-93.089859,1,1,1.0,11.11,0.0,False,-1
1-1-4,1,entre_semana_12,entre_semana,12,16.614047,-93.089859,1,5,5.0,11.11,0.0,False,-1
1-1-4,1,entre_semana_13,entre_semana,13,16.614047,-93.089859,3,3,1.0,33.33,0.333,False,-1
1-1-4,1,entre_semana_17,entre_semana,17,16.614047,-93.089859,2,8,4.0,22.22,0.5,False,-1
1-1-4,1,entre_semana_18,entre_semana,18,16.614047,-93.089859,1,5,5.0,11.11,1.0,False,-1
1-1-4,1,entre_semana_19,entre_semana,19,16.614047,-93.089859,2,2,1.0,22.22,0.5,False,-1
1-1-4,1,entre_semana_20,entre_semana,20,16.614047,-93.089859,3,5,1.667,33.33,0.333,False,-1
1-1-4,1,fin_de_semana_01,fin_de_semana,1,16.614047,-93.089859,1,6,6.0,11.11,0.0,False,-1
1-1-4,1,fin_de_semana_07,fin_de_semana,7,16.614047,-93.089859,5,0,0.0,55.56,0.0,False,-1
1-1-4,1,fin_de_semana_09,fin_de_semana,9,16.614047,-93.089859,1,1,1.0,11.11,0.0,False,-1
1-1-4,1,fin_de_semana_13,fin_de_semana,13,16.614047,-93.089859,1,3,3.0,11.11,0.0,False,-1
1-1-4,1,fin_de_semana_17,fin_de_semana,17,16.614047,-93.089859,1,1,1.0,11.11,0.0,False,-1
1-1-4,1,fin_de_semana_21,fin_de_semana,21,16.614047,-93.089859,1,2,2.0,11.11,0.0,False,-1
1-1-4,1,fin_de_semana_22,fin_de_semana,22,16.614047,-93.089859,1,3,3.0,11.11,1.0,False,-1
1-1-5,1,entre_semana_00,entre_semana,0,16.614047,-93.087161,1,3,3.0,11.11,0.0,False,-1
1-1-5,1,entre_semana_02,entre_semana,2,16.614047,-93.087161,2,4,2.0,22.22,0.0,False,-1
1-1-5,1,entre_semana_03,entre_semana,3,16.614047,-93.087161,1,4,4.0,11.11,1.0,False,-1
1-1-5,1,entre_semana_07,entre_semana,7,16.614047,-93.087161,1,3,3.0,11.11,0.0,False,-1
1-1-5,1,entre_semana_08,entre_semana,8,16.614047,-93.087161,1,4,4.0,11.11,1.0,False,-1
1-1-5,1,entre_semana_09,entre_semana,9,16.614047,-93.087161,4,5,1.25,44.44,0.0,False,-1
1-1-5,1,entre_semana_11,entre_semana,11,16.614047,-93.087161,1,6,6.0,11.11,0.0,False,-1
1-1-5,1,entre_semana_13,entre_semana,13,16.614047,-93.087161,3,2,0.667,33.33,0.667,False,-1
1-1-5,1,entre_semana_14,entre_semana,14,16.614047,-93.087161,1,5,5.0,11.11,0.0,False,-1
1-1-5,1,entre_semana_17,entre_semana,17,16.614047,-93.087161,4,7,1.75,44.44,1.0,False,-1
1-1-5,1,entre_semana_18,entre_semana,18,16.614047,-93.087161,1,2,2.0,11.11,0.0,False,-1
1-1-5,1,entre_semana_19,entre_semana,19,16.614047,-93.087161,1,3,3.0,11.11,0.0,False,-1
